,Date,Time,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passengers,Aboard Crew,Fatalities,Fatalities Passengers,Fatalities Crew,Ground,Summary,Location,Latitude,Longitude,geometry
0,17/09/1908,17:18,Military - U.S. Army,,Demonstration,Wright Flyer III,,1,2,1,1,1,1,0,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.","Fort Myer, Virginia",38.877461,-77.080828,POINT (38.877461 -77.08082799848259)
1,7/09/1909,,,,  ,Wright Byplane,SC1,,1,0,1,1,0,0,0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.","Juvisy-sur-Orge, France",48.6904063,2.373809,POINT (48.6904063 2.373809)
2,12/07/1912,6:30,Military - U.S. Navy,,Test flight,Dirigible,,,5,0,5,5,0,5,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.","Atlantic City, New Jersey",39.3642852,-74.4229351,POINT (39.36428520000001 -74.42293509999998)
3,6/08/1913,,Private,,,Curtiss seaplane,,,1,0,1,1,0,1,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.","Victoria, British Columbia, Canada",48.4283182,-123.3649533,POINT (48.4283182 -123.3649533)
4,9/09/1913,18:30,Military - German Navy,,,Zeppelin L-1 (airship),,,20,,,14,,,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,the North Sea,56.74123355,2.891171717,POINT (56.74123355 2.89117171668805)
5,17/10/1913,10:30,Military - German Navy,,,Zeppelin L-2 (airship),,,30,,,30,,,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..","Johannisthal, Germany",52.4459114,13.504547,POINT (52.44591139999999 13.504547)
6,5/03/1915,1:00,Military - German Navy,,,Zeppelin L-8 (airship),,,41,,,21,,,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,"Tienen, Belgium",50.80843175,4.946429213,POINT (50.80843175 4.94642921342942)
7,3/09/1915,15:20,Military - German Navy,,,Zeppelin L-10 (airship),,,19,,,19,,,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.","Cuxhaven, Germany",53.86878,8.698286,POINT (53.86878000000001 8.698286)
8,28/07/1916,,Military - German Army,,,Schutte-Lanz S-L-10 (airship),,,20,,,20,,,0,"Crashed near the Black Sea, cause unknown.","Jambol, Bulgeria",51.60443,19.187901,POINT (51.60443 19.187901)
9,24/09/1916,1:00,Military - German Navy,,,Zeppelin L-32 (airship),,,22,,,22,,,0,Shot down by British aircraft crashing in flames.,"Billericay, England",51.6289575,0.4198562,POINT (51.6289575 0.4198562)
10,1/10/1916,23:45,Military - German Navy,,,Zeppelin L-31 (airship),,,19,0,19,19,0,19,0,Shot down in flames by the British 39th Home Defence Squadron.,"Potters Bar, England",51.702588,-0.1955649,POINT (51.702588 -0.1955649)
11,21/11/1916,,Military - German Army,,,Super Zeppelin (airship),,,28,,,27,,,0,Crashed in a storm.,"Mainz, Germany",50.0012314,8.2762513,POINT (50.0012314 8.276251299999998)
12,28/11/1916,23:45,Military - German Navy,,,Zeppelin L-34 (airship),,,20,,,20,,,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,"West Hartlepool, England",54.6857276,-1.2093696,POINT (54.68572760000001 -1.2093696)
13,4/03/1917,,Military - German Army,,,Airship,,,20,,,20,,,0,Caught fire and crashed.,"Gent, Belgium",51.0538286,3.7250121,POINT (51.0538286 3.7250121)
14,30/03/1917,,Military - German Navy,,,Schutte-Lanz S-L-9 (airship),,,23,,,23,,,0,Struck by lightning and crashed into the Baltic Sea.,Northern Germany,54.6072964,8.8840629,POINT (54.6072964 8.8840629)
15,14/05/1917,5:15,Military - German Navy,,,Zeppelin L-22 (airship),,,21,,,21,,,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.","Texel Island, North Sea",40.862838,14.237375,POINT (40.862838 14.237375)
16,14/06/1917,8:45,Military - German Navy,,,Zeppelin L-43 (airship),,,24,,,24,,,0,Shot down by British aircraft.,"Vlieland Island, North Sea",40.862838,14.237375,POINT (40.862838 14.237375)
17,17/06/1917,,,,,Zepplin LZ-95 (air ship),L-48,,16,,,14,,,0,Shot down by aircraft.,"Yarmouth, England",50.68804755,-1.476071077,POINT (50.68804755 -1.47607107665827)
18,21/08/1917,7:00,Military - German Navy,,,Zeppelin L-23 (airship),,,18,,,18,,,0,Shot down by British aircraft.,western Denmark,-34.9646543,117.3591467,POINT (-34.96465429999999 117.3591467)
19,20/10/1917,7:45,Military - German Navy,,,Zeppelin L-44 (airship),,,18,,,18,,,0,Shot down by French anti-aircraft fire.,"Luneville, France",48.5916164,6.4919563,POINT (48.5916164 6.491956299999999)
20,7/04/1918,21:30,Military - German Navy,,,Zeppelin L-59 (airship),,,23,,,23,,,0,Exploded and crashed into the sea off the southern coast of Italy.,the Mediterranean,35.25570135,33.90401195,POINT (35.25570135 33.9040119532069)
21,10/05/1918,,Military - German Navy,,,Zeppelin L-70 (airship),,,22,,,22,,,0,"Shot down by British aircraft crashing from a height of 17,000 ft.","Helgoland Island, Germany",54.18004525,7.885362101,POINT (54.18004525 7.88536210118069)
22,11/08/1918,10:00,Military - German Navy,,,Zeppelin L-53 (airship),,,19,,,19,,,0,Shot down by british aircraft.,Ameland Island,53.40670555,5.749159049,POINT (53.40670555 5.749159048908651)
23,16/12/1918,,US Aerial Mail Service,,,De Havilland DH-4,97,,1,0,1,1,0,1,0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,"Elizabeth, New Jersey",40.6639916,-74.2107006,POINT (40.6639916 -74.2107006)
24,25/05/1919,,US Aerial Mail Service,,,De Havilland DH-4,61,,1,0,1,1,0,1,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,"Cleveland, Ohio",41.5051613,-81.6934446,POINT (41.5051613 -81.69344460000001)
25,19/07/1919,,US Aerial Mail Service,,,De Havilland DH-4,82,,1,0,1,1,0,1,0,The mail plane crashed under unknown circumstances.,"Dix Run, Pennsylvania",40.8967735,-77.8954281,POINT (40.8967735 -77.89542809999998)
26,21/07/1919,16:55,Wingfoot Air Express Goodyear Tire,,Shuttle,FD Type Dirigible,,,,,,3,2,1,10," The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed","Chicago, Illinois",41.8755616,-87.6244212,POINT (41.87556160000001 -87.6244212)
27,2/08/1919,,Caproni Company,,Venice  Taliedo,Caproni Ca.48,,,14,12,2,14,12,2,0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,"Verona, Italy",45.4384958,10.9924122,POINT (45.4384958 10.9924122)
28,2/10/1919,,Aircraft Transport and Travel,,,De Havilland DH-4,,,1,0,1,1,0,1,0,,"Newcastle, England",54.9738474,-1.6131572,POINT (54.97384739999999 -1.6131572)
29,14/10/1919,,US Aerial Mail Service,,,Curtiss R-4LM,32,,1,0,1,1,0,1,0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods.","Cantonsville, Maryland",45.56389,-76.37306,POINT (45.56389 -76.37306)
